IATA,Name
CGE,Cambridge
CGF,Cuyahoga County
CGG,Casiguran
CGH,Congonhas
CGI,Cape Girardeau
CGJ,Chingola
CGM,Mambajao
CGN,Cologne/bonn
CGO,Zhengzhou
CGP,Patenga
CGQ,Changchun
CGR,Intl. Airport Campo Grande
CGS,College Park
CGT,Chinguitti
CGU,Ciudad Guayana
CGV,Caiguna
CGX,Merrill C Meigs (closed)
CGY,Cagayan De Oro Domestic Airport
CGZ,Municipal
CHA,Lovell Field
CHB,Chilas
CHC,Christchurch International
CHD,Williams Gateway Airport
CHE,Reenroe
CHF,Jinhae
CHG,Chaoyang Airport
CHH,Chachapoyas
CHI,Chicago FSS
CHJ,Chipinge
CHK,Municipal
CHL,Challis
CHM,Chimbote
CHN,Jeonju
CHO,Albemarle
CHP,Circle Hot Springs
CHQ,Souda
CHR,Chateauroux
CHS,Charleston
CHT,Karewa
CHU,Chuathbaluk
CHV,Chaves
CHW,Jiuhuang
CHX,Changuinola
CHY,Choiseul Bay
CHZ,State
CIA,Ciampino
CIB,Ap In The Sky
CIC,Chico
CID,Cedar Rapids
CIE,Collie
CIF,Chifeng
CIG,Craig-Moffat
CIH,Changzhi
CIJ,E. Beltram
CIK,Chalkyitsik
CIL,Melsing Creek
CIM,Cimitarra
CIN,Carroll
CIO,MCAL Lopez
CIP,Chipata
CIQ,Chiquimula
CIR,Cairo
CIS,Canton Island
CIT,Shimkent
CIU,Chippewa County
CIV,Chomley
CIW,Canouan Island
CIX,Cornel Ruiz
CIY,Comiso
CIZ,Coari
CJA,Cajamarca
CJB,Peelamedu
CJC,El Loa
CJD,Candilejas
CJH,Chilko Lake
CJI,Ciudad Real - Don Quijote Airport
CJJ,Cheongju
CJL,Chitral
CJM,Chumphon Airport
CJN,Gillespie Field
CJS,Intl Abraham Gonzalez
CJT,Copalar
CJU,Jeju Airport
CKA,Kegelman Af
CKB,Benedum
CKC,Cherkassy
CKD,Crooked Creek
CKE,Clear Lake
CKG,Chongqing Jiangbei International
CKH,Chokurdah
CKI,Croker Island
CKK,Cherokee
CKL,Chkalovsky
CKM,Fletcher Field
CKN,Municipal
CKO,Cornelio Procopio
CKR,Crane Island
CKS,Carajas
CKT,Sarakhs
CKU,City
CKV,Outlaw Field
CKX,Chicken
CKY,Conakry
CKZ,Canakkale
CLA,Comilla
CLB,Castlebar
CLC,Metroport
CLD,Mc Clellan-Palomar Airport
CLE,Hopkins International
CLG,Coalinga
CLH,Coolah
CLI,Clintonville
CLJ,Cluj Napoca International Airport
CLK,Municipal
CLL,Easterwood Field
CLM,Fairchild Intl
CLN,Carolina
CLO,Alfonso B. Aragon
CLP,Clarks Point
CLQ,Colima
CLR,Calipatria
CLS,Centralia
CLT,Charlotte Douglas
CLU,Columbus Municipal
CLV,Caldas Novas
CLW,Executive
CLX,Clorinda
CLY,Ste Catherine
CLZ,Calabozo
CMA,Cunnamulla
CMB,Bandaranayake
CMC,Camocim
CMD,Cootamundra
CME,Ciudad Del Carmen
CMF,Chambery
CMG,Intl. Airport Corumba
CMH,Port Columbus Intl
CMI,University Of Illinois Willard
CMJ,Chi Mei
CMK,Club Makokola
CML,Camooweal
CMM,Carmelita
CMN,Mohamed V
CMO,Obbia
CMP,Campo Alegre
CMQ,Clermont
CMR,Colmar-houssen
CMS,Scusciuban
CMT,Cameta
CMU,Chimbu
CMV,Coromandel
CMW,Ign Agramonte Intl
CMX,Houghton County
CMY,Fort Mccoy
CMZ,Caia
CNA,Cananea
CNB,Coonamble
CNC,Coconut Island
CND,Kogalniceanu
CNE,Canon City
CNG,Parvaud
CNH,Municipal
CNI,Changhai
CNJ,Cloncurry
CNK,Blosser Municipal
CNL,Sindal
CNM,Carlsbad
CNN,Chulman
CNO,Chino
CNP,Neerlerit Inaat
CNQ,Camba Punta
CNR,Chanaral
CNS,Cairns
CNT,Charata
CNU,Martin Johnson
CNV,Canavieiras
CNW,TSTC Waco Airport
CNX,Chiang Mai International
CNY,Canyonlands Field
CNZ,Cangamba
COA,Columbia
COB,Coolibah
COC,Concordia
COD,Yellowstone Regional
COF,Patrick AFB
COG,Mandinga
COH,Cooch Behar
COI,Merritt Island
COJ,Coonabarabran
COK,Cochin International
COL,Isle Of Coll
COM,Coleman
CON,Concord
COO,Cotonou
COP,Cooperstown - Westville Airport
COQ,Choibalsan
COR,Pajas Blancas
COS,Colorado Springs
COT,Cotulla
COU,Columbia Regional
COV,Covilha
COW,Coquimbo
COX,Congo Town
COY,Coolawanyah
COZ,Constanza
CPA,A. Tubman
CPB,Capurgana
CPC,Chapelco
CPD,Coober Pedy
CPE,Campeche International
CPF,Cepu
CPG,Carmen De Patagones
CPH,Kastrup
CPI,Cape Orford
CPL,Chaparral
CPM,Compton
CPN,Cape Rodney
CPO,Chamonate
CPQ,International
CPR,Casper
CPS,St. Louis Downtown Airport
CPT,Cape Town International
CPU,Cururupu
CPV,Joao Suassuna
CPX,Culebra
CQA,Canarana Airport
CQD,Shahre-kord
CQF,Calais
CQP,Cape Flattery
CQS,Costa Marques
CQT,Caquetania
CRA,Craiova
CRB,Collarenebri
CRC,Cartago
CRD,Comodoro Rivadavia
CRE,Grand Strand Airport
CRF,Carnot
CRG,Craig Municipal
CRH,Cherribah
CRI,Crooked Island
CRJ,Coorabie
CRK,Diosdado Macapagal International (Clark Int)
CRL,Charleroi Brussels South
CRM,National
CRN,Cromarty
CRO,Corcoran
CRP,Corpus Christi International Airport
CRQ,Caravelas
CRR,Ceres
CRS,Corsicana
CRT,Municipal
CRU,Carriacou Is
CRV,Crotone
CRW,Yeager
CRX,Roscoe Turner
CRY,Carlton Hill
CRZ,Turkmenabad
CSA,Isle Of Colonsay
CSB,Caransebes
CSC,Canas
CSD,Cresswell Downs
CSE,Crested Butte
CSF,Creil
CSH,Solovky
CSI,David
CSJ,Cape St Jacques
CSK,Cap Skirring
CSM,Sherman
CSN,Carson City
CSO,Cochstedt
CSP,Coast Guard Heliport
CSQ,Municipal
CSR,Casuarito
CSS,Cassilandia
CST,Castaway
CSU,Santa Cruz Do Sul
CSV,Memorial
CSW,Colorado do Oeste
CSX,Changsha
CSY,Cheboksary
CSZ,Brig D Hector Eduardo Ruiz
CTA,Fontanarossa
CTB,Cut Bank
CTC,Catamarca
CTD,Chitre
CTE,Carti
CTF,Coatepeque Airport
CTG,Rafael Nunez
CTH,Chestercounty Carlson
CTI,Cuito Cuanavale
CTK,Canton
CTL,Charleville
CTM,Chetumal
CTN,Cooktown
CTO,Peconic River
CTP,Carutapera
CTQ,Do Palmar
CTR,Cattle Creek
CTS,New Chitose Airport
CTT,Le Castellet
CTU,Shuangliu
CTW,Cottonwood
CTX,Cortland
CTY,Cross City
CTZ,Sampson County
CUA,Ciudad Constitucion
CUB,Owens Field
CUC,Camilo Dazo
CUD,Caloundra
CUE,Cuenca
CUF,Levaldigi
CUG,Cudal
CUH,Municipal
CUI,Currillo
CUJ,Culion
CUK,Caye Caulker
CUL,Fedl De Bachigualato
CUM,Cumana
CUN,Cancún International
CUO,Caruru
CUP,Carupano
CUQ,Coen
CUR,Hato International Airport
CUS,Municipal
CUT,Cutral
CUU,Gen Fierro Villalobos
CUV,Casigua
CUW,Cube Cove
CUX,Cuddihy Field
CUY,Cue
CUZ,Velazco Astete
CVA,Civic Ar Heli
CVB,Chungribu
CVC,Cleve
CVE,Covenas
CVF,Courchevel
CVG,Cincinnati/northern Kentucky
CVH,Caviahue
CVI,Caleta Olivia
CVJ,General Mariano Matamoros Airport
CVL,Cape Vogel
CVM,Ciudad Victoria
CVN,Municipal
CVO,Albany
CVQ,Carnarvon
CVR,Hughes
CVS,Cannon AFB
CVT,West Midlands International
CVU,Corvo Island
CWA,Central Wisconsin
CWB,Afonso Pena International Airport
CWC,Chernovtsy
CWG,Callaway Gardens
CWI,Clinton
CWL,Cardiff-wales Arpt
CWO,Ft Wolter AAF
CWP,Campbellpore
CWR,Cowarie
CWS,Center Island
CWT,Cowra
CWW,Corowa
CXA,Caicara Del Orinoco
CXC,Chitina Arpt
CXF,Coldfoot
CXH,Coal Harbour
CXI,Cassidy International Airport
CXJ,Campo Dos Bugres
CXL,International
CXN,Candala
CXO,Montgomery Co
CXP,Tunggul Wulung
CXQ,Christmas Creek
CXR,Nah Trang (No longer in operation)
CXT,Charters Towers
CXY,Cat Cays
CYA,Les Cayes
CYB,Gerrard-Smith
CYC,Caye Chapel
CYE,Crystal Lake
CYF,Chefornak SPB
CYG,Corryong
CYI,Chiayi
CYL,Coyoles
CYM,Chatham SPB
CYO,Cayo Largo Del Sur
CYP,Calbayog
CYR,Laguna De Los Patos
CYS,Cheyenne
CYT,Intermediate
CYU,Cuyo
CYX,Yakut
CYZ,Cauayan
CZA,Chichen Itza
CZB,Carlos Ruhl
CZC,Copper Centre
CZE,Coro
CZF,Cape Romanzof
CZH,Corozal
CZJ,Corazon De Jesus
CZK,Cascade Locks/Stevens
CZL,Ain El Bey
CZM,Cozumel
CZN,Chisana Field
CZO,Chistochina
CZP,Cape Pole
CZS,Intl. Airpt. Cruzeiro Do Sul
CZT,Carrizo Springs
CZU,Corozal
CZW,Czestochowa
CZX,Changzhou
CZY,Cluny
CZZ,Campo
DAA,Davison AAF
DAB,Regional
DAC,Zia International
DAD,Da Nang
DAE,Daparizo
DAF,Daup
DAG,Barstow-Daggett
DAH,Dathina
DAI,Darjeeling
DAJ,Dauan Island
DAK,Dakhla
DAL,Love Field
DAM,International
DAN,Municipal
DAO,Dabo
DAP,Darchula
DAR,International
DAS,Great Bear Lake
DAT,Datong
DAU,Daru
DAV,Enrique Malek
DAX,Daxian
DAY,James Cox Dayton Intl
DAZ,Darwaz
DBA,Dalbandin
DBB,Alalamain Intl.
DBD,Dhanbad
DBM,Debra Marcos
DBN,Municipal
DBO,Dubbo
DBP,Debepare
DBQ,Municipal
DBS,Dubois
DBT,Debra Tabor
DBU,Dambulu Oya Tank
DBV,Dubrovnik
DBY,Dalby
DCA,Reagan Washington National
DCF,Cane Field
DCI,Rafsu Decimomannu
DCK,Dahl Creek Arpt
DCM,Mazamet
DCR,Decatur Hi-Way
DCT,Duncan Town
DCU,Pyor
DDC,Dodge City Municipal
DDG,Dandong
DDI,Daydream Is
DDM,Dodoima
DDN,Delta Downs
DDP,Dorado Beach
DDU,Dadu
DEA,Dera Ghazi Khan
DEB,Debrecen
DEC,Decatur Arpt
DED,Dehra Dun
DEF,Dezful
DEH,Municipal
DEI,Denis Island
DEL,Indira Gandhi Intl
DEM,Dembidollo
DEN,Denver International
DEO,Hyatt Regency H/P
DEP,Deparizo
DER,Derim
DES,Desroches
DET,Detroit City
DEZ,Al Jafrah
DFI,Memorial
DFP,Drumduff
DFW,Dallas/Fort Worth International
DGA,Dangriga
DGB,Danger Bay
DGC,Degahbur
DGD,Dalgaranga
DGE,Mudgee
DGF,Bisbee-douglas International
DGG,Daugo
DGK,Dugong
DGL,Douglas Municipal
DGM,Dongguan
DGN,NAF
DGO,Guadalupe Victoria
DGP,Daugavpils
DGR,Dargaville
DGT,Dumaguete
DGU,Dedougou
DGW,Converse County
DHA,Dhahran
DHD,Durham Downs
DHF,Al Dhafra Military Apt
DHI,Dhangarhi
DHL,Dhala
DHM,Gaggal Airport
DHN,Dothan Arpt
DHR,De Kooy/Den Helder Airport
DHT,Dalhart
DIB,Dibrugarh
DIC,Dili City Heliport
DIE,Antsiranana/Arrachart
DIG,Diqing
DIJ,Dijon
DIK,Dickinson
DIL,Presidente Nicolau Lobato International Airport
DIM,Dimbokro
DIN,Dien Bien
DIO,Diomede Island
DIP,Diapaga
DIQ,Divinopolis
DIR,Aba Tenna D Yilma
DIS,Loubomo
DIU,Diu
DIV,Divo
DIW,Mawella Lagoon
DIY,Diyarbakir
DJA,Djougou
DJB,Sultan Taha Syarifudn
DJE,Djerba-zarzis
DJG,Inedbirenne
DJJ,Sentani
DJM,Djambala
DJN,Delta Junction
DJO,Daloa
DJU,Djupivogur
DKI,Dunk Island
DKK,Dunkirk
DKR,Dakar-Yoff-Léopold Sédar Senghor International
DKS,Dikson
DKV,Docker River
DLA,Douala
DLC,Dalian
DLD,Dagali Airport
DLE,Tavaux
DLF,Laughlin Afb
DLG,Municipal
DLH,Duluth International
DLI,Lienkhang
DLK,Dulkaninna
DLL,Dillon
DLM,Dalaman
DLN,Dillon
DLO,Dolomi
DLP,Disneyland Paris
DLS,Columbia Gorge Regional/The Dalles Municipal Airport
DLU,Dali
DLV,Delissaville
DLY,Dillons Bay
DLZ,Dalanzadgad
DMA,Davis Monthan AFB
DMB,Zhambyl
DMD,Doomadgee
DME,Domodedovo
DMN,Deming
DMO,Sedalia
DMR,Dhamar
DMT,Diamantino
DMU,Dimapur
DNA,Kadena AB
DNB,Dunbar
DNC,Danane
DND,Dundee
DNE,Dallas North Airport
DNF,Martuba
DNG,Doongan
DNH,Dunhuang
DNI,Wad Medani
DNK,Dnepropetrovsk
DNL,Daniel Field
DNM,Denham
DNN,Municipal
DNO,Dianopolis
DNP,Dang
DNQ,Deniliquin
DNR,Pleurtuit
DNS,Municipal
DNT,Downtown Heliport
DNU,Dinangat
DNV,Vermilion County
DNX,Galegu
DNZ,Cardak
DOA,Doany
DOB,Dobo Airport
DOC,Dornoch
DOD,Dodoma
DOE,Djoemoe
DOF,Dora Bay
DOG,Dongola
DOH,Doha
DOI,Doini
DOK,Donetsk International Airport
DOL,St Gatien
DOM,Melville Hall
DON,Dos Lagunas
DOO,Dorobisoro
DOP,Dolpa
DOR,Dori
DOS,Dios
DOU,Dourados
DOV,Dover AFB
DOX,Dongara
DOY,Dongying
DPA,Dupage County
DPE,Dieppe
DPG,Michael AAF
DPK,Deer Park
DPL,Dipolog
DPO,Devonport
DPS,Ngurah Rai International
DPU,Dumpu
DRA,Desert Rock
DRB,Derby
DRC,Dirico
DRD,Dorunda Station
DRE,Drummond Island
DRF,Drift River
DRG,Deering
DRH,Dabra
DRI,Beauregard Parish
DRJ,Drietabbetje
DRM,Drama
DRN,Dirranbandi
DRO,La Plata
DRR,Durrie
DRS,Dresden Arpt
DRT,International
DRU,Drummond
DRW,Darwin
DRY,Drysdale River
DSA,Robin Hood
DSC,Dschang
DSD,La Desirade
DSE,Combolcha
DSG,Dilasag
DSI,Destin-Fort Walton Beach Airport
DSK,Dera Ismail Khan
DSL,Daru
DSM,Des Moines International
DSN,Dongsheng
DSV,Dansville
DTA,Delta
DTD,Datadawai
DTE,Camarines Norte
DTH,Death Valley
DTL,Municipal
DTM,Dortmund
DTN,Shreveport Downtown
DTR,Decatur Island
DTW,Detroit Metropolitan Wayne County
DUA,Eaker
DUB,Dublin
DUC,Halliburton Field
DUD,Dunedin International
DUE,Dundo
DUF,Pine Island Airport
DUG,Bisbee-Douglas Intl
DUJ,Du Bois-Jefferson County
DUK,Dukuduk
DUM,Pinang Kampai
DUN,Dundas
DUQ,Duncan/Quam
DUR,Durban International
DUS,Düsseldorf International Airport (rhein-ruhr)
DUT,Emergency Field
DVA,Deva
DVK,Diavik
DVL,Devils Lake
DVN,Davenport
DVO,Francisco Bangoy International
DVP,Davenport Downs
DVR,Daly River
DVT,Phoenix Deer Valley Airport
DWA,Dwangwa
DWB,Soalala
DWD,Dawadmi
DWF,Wright AFB
DWH,David Wayne Hooks
DWN,Downtown Airpark
DWS,Walt Disney World
DXA,Deux Alpes
DXB,Dubai
DXD,Dixie
DXR,Danbury Municipal Airport
DYA,Dysart
DYG,Dayong
DYL,Doylestown
DYM,Diamantina Lakes
DYR,Ugolniy
DYS,Dyess AFB
DYU,Dushanbe
DYW,Daly Waters
DZA,Dzaoudzi
DZI,Codazzi
DZN,Zhezhazgan
DZO,Santa Bernardina
DZU,Dazu
EAA,Eagle
EAB,Abbse
EAE,Emae
EAL,Elenak
EAM,Nejran
EAN,Phifer Field
EAR,Kearney
EAS,Donostia - San Sebastian
EAT,Pangborn Field
EAU,Chippewa Valley Regional Airport
EBA,Marina Di Campo
EBB,Entebbe
EBD,El Obeid
EBG,El Bagre
EBJ,Esbjerg
EBM,El Borma
EBN,Ebadon
EBO,Ebon Airport
EBR,Downtown
EBS,Municipal
EBU,Boutheon
EBW,Ebolowa
ECA,Emmet County Airport
ECG,Elizabeth City
ECH,Echuca
ECN,Ercan
ECO,El Encanto
ECR,El Charco
ECS,Mondell
EDA,Edna Bay
EDB,Eldebba
EDD,Erldunda
EDE,Municipal
EDF,Elmendorf Afb
EDG,Weide AAF
EDI,Turnhouse
EDK,El Dorado
EDL,Eldoret
EDM,Les Ajoncs
EDO,Edremit/korfez
EDQ,Erandique
EDR,Edward River
EDW,Edwards AFB
EED,Needles
EEK,Eek
EEN,Dillant-Hopkins
EFB,Eight Fathom Bight
EFD,Ellington Field
EFG,Efogi
EFK,Newport
EFL,Kefalonia Istland International Airport
EFO,East Fork
EFW,Municipal
EGA,Engati
EGC,Roumanieres
EGE,Eagle County
EGI,Duke Field
EGL,Neghelli
EGM,Sege
EGN,Geneina
EGO,Belgorod
EGP,Maverick Co
EGS,Egilsstadir
EGV,Eagle River
EGX,Egegik
EHL,El Bolson
EHM,Cape Newenham
EHT,Rentschler
EIA,Popondetta
EIB,Eisenach
EIE,Eniseysk
EIH,Einasleigh
EIL,Eielson AFB
EIN,Eindhoven
EIS,Beef Island
EIY,Ein Yahav
EJA,Variguies
EJH,Wedjh
EJT,Enijet
EKA,Murray Field
EKB,Ekibastuz
EKD,Elkedra
EKE,Ekereku
EKI,Municipal
EKN,Elkins
EKO,Elko Regional
EKT,Eskilstuna
EKX,Elizabethtown
ELA,Eagle Lake
ELB,San Bernado
ELC,Elcho Island
ELD,Goodwin Field
ELE,El Real
ELF,El Fasher
ELG,Djamet
ELH,International
ELI,Elim
ELJ,El Recreo
ELK,Municipal
ELL,Ellisras
ELM,Elmira Corning Regional
ELN,Bowers Field
ELO,Eldorado
ELP,El Paso International Airport
ELQ,Gassim Regional Airport
ELR,Elelim
ELS,East London
ELT,Tour Sinai City
ELU,Guemar
ELV,Elfin Cove SPB
ELW,Ellamar
ELX,El Tigre
ELY,Yelland
ELZ,Municipal
EMA,East Midlands
EMB,Embarkadero
EMD,Emerald
EME,Emden
EMG,Empangeni
EMI,Emirau
EMK,Emmonak
EML,Emmen
EMM,Kemerer
EMN,Nema
EMO,Emo
EMP,Emporia
EMS,Embessa
EMT,El Monte
EMX,El Maiten
EMY,El Minya
ENA,Kenai
ENB,Eneabba West
ENC,Essey
END,Vance Afb
ENE,Ende
ENF,Enontekio
ENH,Enshi
ENI,El Nido
ENJ,El Naranjo
ENK,Enniskillen St. Angelo
ENL,Municipal
ENN,Municipal
ENO,Teniente Prim Alarcon
ENQ,Coronel E Soto Cano AB
ENS,Twente
ENT,Enewetak Island
ENU,Enugu
ENV,Wendover
ENW,Kenosha Regional Airport
EOH,Enrique Olaya Herrera International Airport
EOI,Eday
EOK,Keokuk
EOR,El Dorado
EOS,Neosho
EOZ,Elorza
EPA,El Palomar
EPG,Browns
EPH,Ephrata
EPI,Epi
EPK,Episkopi
EPL,Mirecourt
EPN,Epena
EPR,Esperance
EPS,Arroyo Barril International
EPT,Eliptamin
EPU,Parnu
EQS,Esquel
ERA,Erigavo
ERB,Ernabella
ERC,Erzincan
ERD,Berdyansk
ERE,Erave
ERF,Erfurt
ERH,Moulay Ali Cherif
ERI,International
ERM,Comandante Kraemer
ERN,Eirunepe
ERO,Coast Guard
ERR,Errol
ERS,Eros
ERT,Erdenet
ERU,Erume
ERV,Kerrville
ERZ,Budrum
ESB,Esenboga
ESC,Delta County Arpt
ESD,Orcas Island
ESE,Ensenada
ESF,Esler Field
ESG,Mariscal Estigarribia
ESH,Shoreham
ESI,Espinosa
ESK,Eskisehir
ESL,Elista
ESM,Esmeraldas
ESN,Easton
ESO,Espanola
ESP,Birchwood-Pocono
ESR,El Salvador
ESS,Essen
EST,Municipal
ESU,Essaouira
ESW,State
ETB,West Bend
ETD,Etadunna
ETE,Genda Wuha
ETH,Eilat
ETN,Municipal
ETS,Municipal
ETZ,Metz-nancy-lorraine
EUA,Kaufana
EUC,Eucla
EUE,Eureka
EUF,Weedon Field
EUG,Eugene
EUM,Neumuenster
EUN,Hassan I
EUO,Paratebueno
EUQ,Evelio Javier
EUX,F D Roosevelt
EVA,Landing Strip
EVD,Eva Downs
EVE,Evenes
EVG,Sveg
EVH,Evans Head
EVM,Eveleth
EVN,Zvartnots
EVV,Evansville Regional Airport
EVW,Evanston
EVX,Evreux
EWB,New Bedford
EWD,Wildman Lake
EWE,Ewer
EWI,Enarotali
EWK,City-County
EWN,Simmons Nott
EWO,Ewo
EWR,Newark Liberty International
EWY,Greenham RAF
EXI,SPB
EXM,Exmouth Gulf
EXT,Exeter
EYL,Yelimane
EYP,El Yopal
EYR,Yerington
EYS,Eliye Springs
EYW,International
EZE,Ezeiza Ministro Pistarini
EZS,Elazig
FAA,Faranah
FAB,Farnborough
FAC,Faaite
FAE,Vagar
FAF,Felker AAF
FAG,Fagurholsmyri
FAH,Farah
FAI,Fairbanks International Airport
FAJ,Diego Jimenez Torres
FAK,False Island
FAL,Falcon State
FAM,Regional
FAN,Lista
FAO,Faro
FAQ,Freida River
FAR,Hector Field
FAS,Faskrudsfjordur
FAT,Fresno Air Terminal Airport
FAV,Fakarava
FAY,Municipal
FAZ,Fasa
FBD,Faizabad
FBE,Francisco Beltrao
FBG,Simmons AAF
FBK,Ft Wainwright
FBL,Municipal
FBM,Luano
FBR,Fort Bridger
FBS,Friday Harbor SPB
FBY,Municipal
FCA,Glacier Park International
FCB,Ficksburg Sentra Oes
FCH,Fresno-Chandler
FCM,Flying Cloud
FCN,Cuxhaven/Nordholz
FCO,Leonardo da Vinci International (Fiumicino)
FCS,Butts AAF
FCT,Firing Center AAF
FCY,Municipal
FDE,Bringeland
FDF,Lamentin
FDH,Friedrichshafen
FDK,Frederick Municipal
FDR,Municipal
FDU,Bandundu
FDY,Findlay
FEA,Fetlar
FEB,Sanfebagar
FEC,Feira De Santana
FEG,Fergana
FEJ,Feijo
FEK,Ferkessedougou
FEL,Fuerstenfeldbruck
FEN,Fernando De Noronha
FEP,Albertus
FER,Fergusons Gulf
FES,San Fernando
FET,Municipal
FEW,Warren AFB
FEZ,Sais
FFA,First Flight
FFD,RAF Station
FFL,Municipal
FFM,Fergus Falls
FFO,Patterson Afb
FFT,Capital City
FFU,Futaleufu
FGD,Fderik
FGI,Fagali I
FGL,Fox Glacier
FGR,Fuengirola
FGU,Fangatau
FHU,Municipal
FHZ,Fakahina
FIC,Fire Cove
FID,Elizabeth Field
FIE,Fair Isle
FIG,Fria
FIK,Finke
FIL,Municipal
FIN,Finschhafen
FIV,Five Finger
FIZ,Fitzroy Crossing
FJR,Fujairah Intl
FKB,Soellingen
FKH,Sculthorp RAF
FKI,Kisangani
FKJ,Fukui
FKL,Chess-Lambertin
FKN,Municipal
FKQ,Fak Fak
FKS,Fukushima Airport
FLA,Capitolio
FLB,Cangapara
FLC,Falls Creek
FLD,Fond Du Lac
FLE,Fort Lee AAF
FLF,Schaferhaus
FLG,Pulliam Field
FLH,Flotta
FLI,Flateyri
FLJ,Falls Bay
FLL,Fort Lauderdale/Hollywood International
FLM,Filadelfia
FLN,Hercilio Luz
FLO,Florence
FLP,Flippin
FLR,Peretola
FLS,Flinders Island
FLT,Flat
FLU,Flushing
FLV,Sherman AAF
FLW,Santa Cruz
FLX,Municipal
FLY,Finley
FMA,El Pucu
FMC,Five Mile
FME,Tipton AAF
FMG,Flamingo
FMH,Otis AFB
FMI,Kalemie
FMN,Municipal
FMO,Greven
FMS,Municipal
FMY,Page Field
FNA,Lungi International
FNB,Neubrandenburg
FNC,Madeira
FNE,Fane
FNG,Fada Ngourma
FNH,Fincha
FNI,Garons
FNJ,Sunan International
FNK,Fin Creek
FNL,Municipal Airport
FNR,SPB
FNT,Bishop International Airport
FOA,Foula
FOB,Fort Bragg
FOC,Fuzhou
FOD,Fort Dodge Regional
FOE,Forbes Field
FOG,Gino Lisa
FOK,Suffolk County
FOM,Foumban
FON,Fortuna
FOO,Numfoor
FOP,Morris AAF
FOR,Pinto Martins
FOS,Forrest
FOT,Forster
FOU,Fougamou
FOX,Fox
FOY,Foya
FPR,St Lucie County
FPY,Perry-Foley
FRA,Frankfurt International Airport (rhein-main)
FRB,Forbes
FRC,Franca
FRD,Friday Harbor
FRE,Fera Island
FRF,Rhein-Main AFB
FRG,Republic Field
FRH,Municipal
FRI,Marshall AAF
FRJ,Frejus
FRK,Fregate Is
FRL,Luigi Ridolfi
FRM,Fairmont
FRN,Bryant AAF
FRO,Flora
FRP,Fresh Water Bay
FRQ,Feramin
FRR,Front Royal-Warren County
FRS,Santa Elena
FRT,Frutillar
FRU,Manas
FRW,Francistown
FRY,Fryeburg
FRZ,Fritzlar Airbase
FSC,Sud Corse
FSD,Joe Foss Field Airport
FSI,Henry Post AAF
FSK,Municipal
FSL,Fossil Downs
FSM,Regional
FSN,Haley AAF
FSP,Saint-pierre Pointe-blanche
FSS,Kinloss
FST,Pecos County
FSU,Fort Sumner
FTA,Futuna Airport
FTE,El Calafate
FTI,Fitiuta
FTK,Godman AAF
FTL,Fortuna Ledge
FTU,Marillac
FTW,Meacham Field
FTX,Owando
FTY,Fulton County
FUB,Fulleborn
FUD,Sui Fen He
FUE,Fuerteventura
FUG,Fuyang
FUJ,Fukue
FUK,Fukuoka
FUL,Municipal
FUM,Fuma
FUN,International
FUO,Fuoshan
FUT,Futuna Island
FVL,Flora Valey
FVR,Forrest River Airport
FWA,Municipal/Baer Field
FWH,Fort Worth NAS Jrb/Carswell Field
FWL,Farewell
FWM,Heliport
FXE,Executive
FXM,Flaxman Island
FXO,Cuamba
FXY,Municipal
FYM,Municipal
FYN,Fuyun
FYT,Faya
FYU,Fort Yukon
FYV,Municipal (Drake Fld)
FZO,Filton
GAA,Guamal
GAB,Gabbs
GAC,Gracias
GAD,Municipal
GAE,Gabes
GAF,Gafsa
GAG,Gage
GAH,Gayndah
GAI,Montgomery County
GAJ,Junmachi
GAK,Gakona
GAL,Galena
GAM,Gambell
GAN,Gan Airport
GAO,Los Canos
GAP,Gusap
GAQ,Gao
GAR,Garaina
GAS,Garissa
GAT,Tallard
GAU,Borjhar
GAV,Gag Island
GAW,Gangaw
GAX,Gamba
GAY,Gaya
GAZ,Guasopa
GBA,Big Bay
GBB,Gara Djebilet
GBC,Gasuke
GBD,Great Bend
GBE,Sir Seretse Khama International
GBF,Negarbo
GBG,Galesburg
GBH,Galbraith Lake
GBI,Auxiliary Airfield
GBJ,Les Bases
GBK,Gbangbatok
GBL,Goulburn Island
GBM,Garbaharey
GBN,San Giovanni Rotondo
GBO,Baltimore Greenbelt T
GBP,Gamboola
GBQ,Muharraq
GBR,Walter J. Koladza Airport
GBS,Port Fitzroy
GBT,Gorgan
GBU,Khashm El Girba
GBV,Gibb River
GBZ,Great Barrier Island
GCA,Guacamaya
GCC,Campbell County
GCH,Gachsaran
GCI,Guernsey
GCJ,Grand Central
GCK,Garden City Municipal Airport
GCM,Owen Roberts International
GCN,National Park
GCV,Gravatai
GCY,Municipal
GDA,Gounda
GDC,Donaldson Center
GDD,Gordon Downs
GDE,Gode/Iddidole
GDG,Magdagachi
GDH,Golden Horn Lodge SPB
GDI,Gordil
GDJ,Gandajika
GDL,Miguel Hidalgo International Airport
GDM,Municipal
GDN,Lech Walesa
GDO,Vare Maria
GDP,Guadalupe
GDQ,Gondar
GDT,Grand Turk Is
GDV,Dawson Community
GDW,Gladwin
GDX,Sokol
GDZ,Gelendzik
GEA,Magenta
GEB,Gebe
GEC,Gecitkale
GED,Sussex County
GEE,George Town
GEF,Geva Airstrip
GEG,Spokane International
GEI,Green Islands
GEK,Ganes Creek
GEL,Sepe Tiaraju
GEN,Oslo - Gardermoen Airport
